District,Status1,Party1,Actual1,Predicted1,Error1,Status2,Party2,Actual2,Predicted2,Error2,Correct,CorrectNum
AL-03,Incumbent,R,67.1,64.905,-2.195,Challenger,D,32.9,38.27,5.37,True,10
AL-05,Incumbent,R,66.8,78.805,12.005,Challenger,D,33.2,40.372,7.172,True,10
AL-06,Incumbent,R,74.8,85.568,10.768,Challenger,D,25.2,35.937,10.737,True,10
AK-00,Incumbent,R,50.5,64.839,14.339,Challenger,D,36.5,40.124,3.624,True,10
AZ-01,Challenger,D,50.8,47.226,-3.574,Challenger,R,43.5,47.686,4.186,False,0
AZ-02,Incumbent,R,56.7,66.95,10.25,Challenger,D,43.3,40.564,-2.736,True,10
AZ-04,Incumbent,R,71.5,68.415,-3.085,Challenger,D,28.5,34.825,6.325,True,10
AZ-05,Challenger,R,63.1,53.416,-9.684,Challenger,D,36.9,39.572,2.672,True,10
AZ-06,Incumbent,R,61.6,65.392,3.792,Challenger,D,38.4,37.061,-1.339,True,10
AZ-07,Incumbent,D,74.6,69.877,-4.723,Challenger,R,25.4,58.813,33.413,True,10
AZ-08,Incumbent,R,68.6,75.28,6.68,,,0,0,0,True,10
AZ-09,Incumbent,D,61.1,61.644,0.544,Challenger,R,38.9,47.311,8.411,True,10
AR-01,Incumbent,R,76.5,64.022,-12.478,,,0,0,0,True,10
AR-02,Incumbent,R,58.4,64.783,6.383,Challenger,D,36.8,40.821,4.021,True,10
AR-03,Incumbent,R,77.3,90.522,13.222,,,0,0,0,True,10
AR-04,Incumbent,R,74.9,65.217,-9.683,,,0,0,0,True,10
CA-01,Incumbent,R,59.5,63.503,4.003,Challenger,D,40.5,41.91,1.41,True,10
CA-02,Incumbent,D,77.1,64.905,-12.195,Challenger,R,22.9,31.796,8.896,True,10
CA-03,Incumbent,D,58.2,58.706,0.506,Challenger,R,41.8,41.723,-0.077,True,10
CA-04,Incumbent,R,62.8,75.822,13.022,Challenger,D,37.2,41.62,4.42,True,10
CA-05,Incumbent,D,77.2,77.145,-0.055,Challenger,R,22.8,29.72,6.92,True,10
CA-06,Incumbent,D,75.2,71.137,-4.063,Challenger,R,24.8,29.145,4.345,True,10
CA-07,Incumbent,D,51.2,59.61,8.41,Challenger,R,48.8,38.362,-10.438,True,10
CA-08,Incumbent,R,62.7,71.791,9.091,Challenger,D,37.3,41.457,4.157,True,10
CA-09,Incumbent,D,57.6,70.075,12.475,Challenger,R,42.4,30.128,-12.272,True,10
CA-10,Incumbent,R,52.4,59.331,6.931,Challenger,D,47.6,42.962,-4.638,True,10
CA-11,Incumbent,D,71.8,61.918,-9.882,Challenger,R,28.2,37.807,9.607,True,10
CA-12,Incumbent,D,81,76.917,-4.083,,,0,0,0,True,10
CA-13,Incumbent,D,90.7,75.633,-15.067,Challenger,R,9.3,22.677,13.377,True,10
CA-14,Incumbent,D,80.9,71.8,-9.1,Challenger,R,19.1,26.504,7.404,True,10
CA-15,Incumbent,D,73.8,69.795,-4.005,Challenger,R,26.2,33.337,7.137,True,10
CA-16,Incumbent,D,57.8,65.83,8.03,Challenger,R,42.2,33.452,-8.748,True,10
CA-17,Challenger,D,61.1,51.903,-9.197,Incumbent,D,38.9,74.906,36.006,False,0
CA-18,Incumbent,D,71.2,63.972,-7.228,Challenger,R,28.8,34.693,5.893,True,10
CA-19,Incumbent,D,74,73.366,-0.634,Challenger,R,26,44.724,18.724,True,10
CA-20,Challenger,D,70.6,47.151,-23.449,Challenger,R,29.4,40.506,11.106,True,10
CA-21,Incumbent,R,58,78.906,20.906,Challenger,D,42,44.45,2.45,True,10
CA-22,Incumbent,R,68.2,77.554,9.354,Challenger,D,31.8,38.358,6.558,True,10
CA-23,Incumbent,R,70,79.109,9.109,Challenger,D,30,37.683,7.683,True,10
CA-24,Challenger,D,53.2,44.088,-9.112,Challenger,R,46.8,47.058,0.258,False,0
CA-25,Incumbent,R,54.2,60.009,5.809,Challenger,D,45.8,46.582,0.782,True,10
CA-26,Incumbent,D,59.9,59.812,-0.088,Challenger,R,40.1,47.021,6.921,True,10
CA-27,Incumbent,D,66.5,63.113,-3.387,Challenger,R,33.5,36.598,3.098,True,10
CA-28,Incumbent,D,77.9,78.243,0.343,Challenger,R,22.1,30.921,8.821,True,10
CA-29,Incumbent,D,75.2,72.809,-2.391,Challenger,D,24.8,56.772,31.972,True,10
CA-30,Incumbent,D,72.4,65.551,-6.849,Challenger,R,27.6,35.764,8.164,True,10
CA-31,Incumbent,D,55.7,78.399,22.699,Challenger,R,44.3,30.642,-13.658,True,10
CA-32,Incumbent,D,62.4,66.304,3.904,Challenger,D,37.6,47.298,9.698,True,10
CA-33,Incumbent,D,66.3,74.965,8.665,Challenger,R,33.7,32.579,-1.121,True,10
CA-34,Incumbent,D,78.2,80.849,2.649,Challenger,D,21.8,50.868,29.068,True,10
CA-35,Incumbent,D,71.8,78.29,6.49,Challenger,R,28.2,32.195,3.995,True,10
CA-36,Incumbent,D,61.4,60.033,-1.367,Challenger,R,38.6,40.677,2.077,True,10
CA-37,Incumbent,D,82,76.359,-5.641,Challenger,D,18,49.338,31.338,True,10
CA-38,Incumbent,D,69.7,67.336,-2.364,Challenger,R,30.3,34.322,4.022,True,10
CA-39,Incumbent,R,57.7,61.926,4.226,Challenger,D,42.3,40.518,-1.782,True,10
CA-40,Incumbent,D,71.9,81.979,10.079,,,0,0,0,True,10
CA-41,Incumbent,D,64.4,64.901,0.501,Challenger,R,35.6,37.553,1.953,True,10
CA-42,Incumbent,R,59,63.367,4.367,Challenger,D,41,40.221,-0.779,True,10
CA-43,Incumbent,D,75.6,72.571,-3.029,Challenger,R,24.4,31.131,6.731,True,10
CA-44,Challenger,D,51.1,59.565,8.465,Challenger,D,48.9,59.565,10.665,False,0
CA-45,Incumbent,R,59,59.428,0.428,Challenger,D,41,43.829,2.829,True,10
CA-46,Challenger,D,69.9,43.422,-26.478,Challenger,D,30.1,43.422,13.322,False,0
CA-47,Incumbent,D,62.5,59.19,-3.31,Challenger,R,37.5,40.319,2.819,True,10
CA-48,Incumbent,R,58.5,62.161,3.661,Challenger,D,41.5,39.641,-1.859,True,10
CA-49,Incumbent,R,51,63.214,12.214,Challenger,D,49,40.565,-8.435,True,10
CA-50,Incumbent,R,63.9,64.839,0.939,Challenger,D,36.1,37.687,1.587,True,10
CA-51,Incumbent,D,71.9,66.082,-5.818,Challenger,R,28.1,35.124,7.024,True,10
CA-52,Incumbent,D,56.4,56.98,0.58,Challenger,R,43.6,44.65,1.05,True,10
CA-53,Incumbent,D,66.1,61.898,-4.202,Challenger,R,33.9,38.698,4.798,True,10
CO-01,Incumbent,D,67.8,67.615,-0.185,Challenger,R,28.4,35.632,7.232,True,10
CO-02,Incumbent,D,56.8,57.049,0.249,Challenger,R,37.4,43.046,5.646,True,10
CO-03,Incumbent,R,54.6,60.46,5.86,Challenger,D,40.6,41.392,0.792,True,10
CO-04,Incumbent,R,63.8,61.261,-2.539,Challenger,D,31.5,42.068,10.568,True,10
CO-05,Incumbent,R,62.4,69.808,7.408,Challenger,D,30.8,40.828,10.028,True,10
CO-06,Incumbent,R,51.3,58.484,7.184,Challenger,D,42.4,41.742,-0.658,True,10
CO-07,Incumbent,D,55.2,57.073,1.873,Challenger,R,40,43.475,3.475,True,10
CT-01,Incumbent,D,63.6,65.425,1.825,Challenger,R,34.3,36.108,1.808,True,10
CT-02,Incumbent,D,63,65.26,2.26,Challenger,R,33.9,36.343,2.443,True,10
CT-03,Incumbent,D,68.7,68.232,-0.468,Challenger,R,31.3,32.822,1.522,True,10
CT-04,Incumbent,D,60.1,57.552,-2.548,Challenger,R,39.9,44.541,4.641,True,10
CT-05,Incumbent,D,57.9,57.027,-0.873,Challenger,R,42.1,45.85,3.75,True,10
DE-00,Challenger,D,55.5,51.282,-4.218,Challenger,R,41,41.649,0.649,True,10
FL-01,Challenger,R,69.1,48.122,-20.978,Challenger,D,30.9,34.796,3.896,True,10
FL-02,Challenger,R,67.3,50.792,-16.508,Challenger,D,29.9,45.547,15.647,True,10
FL-03,Incumbent,R,56.6,66.74,10.14,Challenger,D,39.7,38.048,-1.652,True,10
FL-04,Challenger,R,70.2,53.258,-16.942,Challenger,D,27.6,51.735,24.135,True,10
FL-05,Challenger,D,64.2,40.697,-23.503,Challenger,R,35.8,38.174,2.374,True,10
FL-06,Incumbent,R,58.6,74.841,16.241,Challenger,D,41.4,42.004,0.604,True,10
FL-07,Challenger,D,51.5,39.145,-12.355,Incumbent,R,48.5,64.582,16.082,False,0
FL-08,Incumbent,R,63.1,62.11,-0.99,Challenger,D,32.5,41.394,8.894,True,10
FL-09,Challenger,D,57.5,46.077,-11.423,Challenger,R,42.5,43.914,1.414,True,10
FL-10,Challenger,D,64.9,41.844,-23.056,Challenger,R,35.1,45.876,10.776,False,0
FL-11,Incumbent,R,65.4,65.811,0.411,Challenger,D,31.6,42.623,11.023,True,10
FL-12,Incumbent,R,68.6,75.392,6.792,Challenger,D,31.4,42.125,10.725,True,10
FL-13,Challenger,D,51.9,42.005,-9.895,Incumbent,R,48.1,74.017,25.917,False,0
FL-14,Incumbent,D,61.8,75.143,13.343,Challenger,R,38.2,38.181,-0.019,True,10
FL-15,Incumbent,R,57.5,65.697,8.197,Challenger,D,42.5,38.801,-3.699,True,10
FL-16,Incumbent,R,59.8,62.997,3.197,Challenger,D,40.2,43.735,3.535,True,10
FL-17,Incumbent,R,61.8,64.724,2.924,Challenger,D,34.2,56.281,22.081,True,10
FL-18,Challenger,R,53.6,45.824,-7.776,Challenger,D,43,42.593,-0.407,True,10
FL-19,Challenger,R,65.9,52.7,-13.2,Challenger,D,34.1,44.713,10.613,True,10
FL-20,Incumbent,D,80.3,76.308,-3.992,Challenger,R,19.7,32.142,12.442,True,10
FL-21,Incumbent,D,62.7,91.586,28.886,Challenger,R,35.2,55.766,20.566,True,10
FL-22,Incumbent,D,58.9,64.25,5.35,Challenger,R,41.1,47.618,6.518,True,10
FL-23,Incumbent,D,56.7,65.386,8.686,Challenger,R,40.5,41.772,1.272,True,10
FL-25,Incumbent,R,62.4,85.187,22.787,Challenger,D,37.6,47.995,10.395,True,10
FL-26,Incumbent,R,53,61.263,8.263,Challenger,D,41.2,48.836,7.636,True,10
FL-27,Incumbent,R,54.9,76.184,21.284,Challenger,D,45.1,46.181,1.081,True,10
GA-02,Incumbent,D,61,59.554,-1.446,Challenger,R,39,41.211,2.211,True,10
GA-03,Challenger,R,68.4,45.198,-23.202,Challenger,D,31.6,36.038,4.438,True,10
GA-04,Incumbent,D,75.6,83.908,8.308,Challenger,R,24.4,36.422,12.022,True,10
GA-05,Incumbent,D,84.6,81.926,-2.674,Challenger,R,15.4,34.03,18.63,True,10
GA-06,Incumbent,R,61.6,67.486,5.886,Challenger,D,38.4,37.628,-0.772,True,10
GA-07,Incumbent,R,60.5,63.754,3.254,Challenger,D,39.5,37.777,-1.723,True,10
GA-08,Incumbent,R,67.7,71.27,3.57,Challenger,D,32.3,37.396,5.096,True,10
GA-11,Incumbent,R,67.5,72.325,4.825,Challenger,D,32.5,40.931,8.431,True,10
GA-12,Incumbent,R,61.6,59.247,-2.353,Challenger,D,38.4,39.223,0.823,True,10
HI-01,Challenger,D,71.9,52.467,-19.433,Challenger,R,22.7,43.851,21.151,True,10
HI-02,Incumbent,D,81.1,71.604,-9.496,Challenger,R,18.9,27.321,8.421,True,10
ID-01,Incumbent,R,68,65.238,-2.762,Challenger,D,32,36.77,4.77,True,10
ID-02,Incumbent,R,63,66.357,3.357,Challenger,D,29.3,34.557,5.257,True,10
IL-01,Incumbent,D,73.4,75.192,1.792,Challenger,R,26.6,24.013,-2.587,True,10
IL-02,Incumbent,D,79.6,76.39,-3.21,Challenger,R,20.4,23.641,3.241,True,10
IL-05,Incumbent,D,67.6,68.027,0.427,Challenger,R,27.8,32.177,4.377,True,10
IL-06,Incumbent,R,59.5,63.775,4.275,Challenger,D,40.5,38.167,-2.333,True,10
IL-07,Incumbent,D,84,81.133,-2.867,Challenger,R,16,18.911,2.911,True,10
IL-08,Challenger,D,58.1,49.644,-8.456,Challenger,R,41.9,44.03,2.13,True,10
IL-09,Incumbent,D,65.8,64.481,-1.319,Challenger,R,34.2,34.855,0.655,True,10
IL-10,Challenger,D,52.5,49.463,-3.037,Incumbent,R,47.5,52.255,4.755,False,0
IL-11,Incumbent,D,59.9,49.962,-9.938,Challenger,R,40.1,47.914,7.814,True,10
IL-12,Incumbent,R,54.3,55.919,1.619,Challenger,D,39.7,48.205,8.505,True,10
IL-13,Incumbent,R,59.7,60.039,0.339,Challenger,D,40.3,43.213,2.913,True,10
IL-14,Incumbent,R,59.6,60.683,1.083,Challenger,D,40.4,40.902,0.502,True,10
IL-17,Incumbent,D,60.1,51.554,-8.546,Challenger,R,39.9,46.139,6.239,True,10
IL-18,Incumbent,R,72.2,69.105,-3.095,Challenger,D,27.8,30.788,2.988,True,10
IN-01,Incumbent,D,81.5,61.588,-19.912,,,0,0,0,True,10
IN-02,Incumbent,R,59.3,61.726,2.426,Challenger,D,36.9,41.008,4.108,True,10
IN-03,Challenger,R,70.1,61.28,-8.82,Challenger,D,23,34.852,11.852,True,10
IN-04,Incumbent,R,64.6,66.281,1.681,Challenger,D,30.5,34.613,4.113,True,10
IN-05,Incumbent,R,61.5,67.376,5.876,Challenger,D,34.3,35.935,1.635,True,10
IN-06,Incumbent,R,69.1,66.221,-2.879,Challenger,D,26.7,35.032,8.332,True,10
IN-07,Incumbent,D,60,59.091,-0.909,Challenger,R,35.7,41.56,5.86,True,10
IN-08,Incumbent,R,63.7,61.632,-2.068,Challenger,D,31.6,39.386,7.786,True,10
IN-09,Challenger,R,54.1,55.295,1.195,Challenger,D,40.5,38.395,-2.105,True,10
IA-01,Incumbent,R,53.9,58.553,4.653,Challenger,D,46.1,46.411,0.311,True,10
IA-02,Incumbent,D,53.7,53.972,0.272,Challenger,R,46.3,47.478,1.178,True,10
IA-03,Incumbent,R,53.5,57.865,4.365,Challenger,D,39.8,46.034,6.234,True,10
IA-04,Incumbent,R,61.4,62.325,0.925,Challenger,D,38.6,38.251,-0.349,True,10
KS-01,Challenger,R,66.2,65.021,-1.179,,,0,0,0,True,10
KS-02,Incumbent,R,61.1,64.562,3.462,Challenger,D,32.5,36.981,4.481,True,10
KS-03,Incumbent,R,51.3,68.608,17.308,Challenger,D,40.6,39.669,-0.931,True,10
KS-04,Incumbent,R,61,66.119,5.119,Challenger,D,29.4,36.041,6.641,True,10
KY-01,Challenger,R,72.6,44.801,-27.799,Challenger,D,27.4,33.103,5.703,True,10
KY-03,Incumbent,D,63.5,60.669,-2.831,Challenger,R,36.5,40.682,4.182,True,10
KY-04,Incumbent,R,71.3,66.75,-4.55,Challenger,D,28.7,35.655,6.955,True,10
KY-06,Incumbent,R,61.1,59.988,-1.112,Challenger,D,38.9,42.525,3.625,True,10
LA-01,Incumbent,R,74.6,74.562,-0.038,Challenger,D,2.8,25.706,22.906,True,10
LA-02,Incumbent,D,69.8,77.958,8.158,Challenger,D,10.1,58.873,48.773,True,10
LA-03,Challenger,R,28.5,61.098,32.598,Challenger,R,0.4,61.098,60.698,False,0
LA-04,Challenger,D,28.2,42.92,14.72,Challenger,R,4.6,53.849,49.249,False,0
LA-05,Incumbent,R,81.6,85.46,3.86,Challenger,R,18.4,52.77,34.37,True,10
LA-06,Incumbent,R,62.7,77.629,14.929,Challenger,D,9,43.581,34.581,True,10
ME-01,Incumbent,D,57.9,60.203,2.303,Challenger,R,42.1,39.958,-2.142,True,10
ME-02,Incumbent,R,54.9,58.355,3.455,Challenger,D,45.1,46.227,1.127,True,10
MD-01,Incumbent,R,67.8,64.769,-3.031,Challenger,D,28,38.47,10.47,True,10
MD-02,Incumbent,D,62.2,65.572,3.372,Challenger,R,33.3,34.041,0.741,True,10
MD-03,Incumbent,D,62.8,62.716,-0.084,Challenger,R,34.5,35.275,0.775,True,10
MD-04,Challenger,D,74.1,44.4,-29.7,Challenger,R,21.6,22.663,1.063,True,10
MD-05,Incumbent,D,67.3,66.724,-0.576,Challenger,R,29.7,33.522,3.822,True,10
MD-06,Incumbent,D,55.4,54.797,-0.603,Challenger,R,40.9,46.427,5.527,True,10
MD-07,Incumbent,D,75.1,73.956,-1.144,Challenger,R,21.9,25.776,3.876,True,10
MD-08,Challenger,D,59.3,43.014,-16.286,Challenger,R,35.6,32.943,-2.657,True,10
MA-01,Incumbent,D,73.4,81.767,8.367,,,0,0,0,True,10
MA-03,Incumbent,D,68.7,66.305,-2.395,Challenger,R,31.3,37.174,5.874,True,10
MA-04,Incumbent,D,70,70.479,0.479,Challenger,R,30,41.077,11.077,True,10
MA-08,Incumbent,D,72.4,91.115,18.715,Challenger,R,27.6,32.271,4.671,True,10
MA-09,Incumbent,D,55.7,64.583,8.883,Challenger,R,33.8,38.364,4.564,True,10
MI-01,Challenger,R,55.3,51.229,-4.071,Challenger,D,39.7,46.133,6.433,True,10
MI-02,Incumbent,R,62.7,63.814,1.114,Challenger,D,32.4,37.271,4.871,True,10
MI-03,Incumbent,R,59.4,59.334,-0.066,Challenger,D,37.5,40.938,3.438,True,10
MI-04,Incumbent,R,61.6,63.292,1.692,Challenger,D,32.1,37.754,5.654,True,10
MI-05,Incumbent,D,61.2,62.507,1.307,Challenger,R,35.1,38.323,3.223,True,10
MI-06,Incumbent,R,58.6,59.78,1.18,Challenger,D,36.4,40.252,3.852,True,10
MI-07,Incumbent,R,55,57.497,2.497,Challenger,D,40.1,42.573,2.473,True,10
MI-08,Incumbent,R,56,62.587,6.587,Challenger,D,39.2,39.699,0.499,True,10
MI-09,Incumbent,D,57.9,60.482,2.582,Challenger,R,37.4,40.4,3,True,10
MI-10,Challenger,R,63,45.379,-17.621,Challenger,D,32.3,30.763,-1.537,True,10
MI-11,Incumbent,R,52.9,62.444,9.544,Challenger,D,40.2,43.035,2.835,True,10
MI-12,Incumbent,D,64.4,66.79,2.39,Challenger,R,29.2,38.126,8.926,True,10
MI-13,Incumbent,D,77,79.117,2.117,Challenger,R,15.8,24.284,8.484,True,10
MI-14,Incumbent,D,78.5,80.036,1.536,Challenger,R,18.7,24.643,5.943,True,10
MN-01,Incumbent,D,50.4,56.388,5.988,Challenger,R,49.6,43.909,-5.691,True,10
MN-02,Challenger,R,47,43.729,-3.271,Challenger,D,45.2,42.638,-2.562,True,10
MN-03,Incumbent,R,56.9,60.482,3.582,Challenger,D,43.1,39.683,-3.417,True,10
MN-04,Incumbent,D,57.8,64.975,7.175,Challenger,R,34.5,36.319,1.819,True,10
MN-05,Incumbent,D,69.2,71.584,2.384,Challenger,R,22.3,30.007,7.707,True,10
MN-06,Incumbent,R,65.7,55.923,-9.777,Challenger,D,34.3,44.049,9.749,True,10
MN-07,Incumbent,D,52.5,57.451,4.951,Challenger,R,47.5,42.294,-5.206,True,10
MN-08,Incumbent,D,50.3,52.672,2.372,Challenger,R,49.7,47.433,-2.267,True,10
MS-01,Incumbent,R,68.8,65.707,-3.093,Challenger,D,27.8,34.458,6.658,True,10
